IntegralRankCurrencyName_1300001|元宝榜
BookDes1|中学教材
BookDes2|大学废材
BookDes3|日记进度：%s/%s
BookDes4|日记次数：%s次
BookDes5|奖励将在活动结束时通过邮件发送
BookDes6|集齐%s字
BookDes7|集齐全文%s次
BookDes8|捐献数量：%s
BookDes9|获得%s：%s
BookDes10|您没有加入战队
BookDes11|捐献了
BookDes12|兑换了
BookDes13|可获得%s：%s
SelfLottery0|幸运值到达#G%s点#end可#G随机获得#end以下珍宝中的一个
SelfLottery1|神品珍宝
SelfLottery2|仙品珍宝
SelfLottery3|灵品珍宝
SelfLottery4|凡品珍宝
SelfLottery5|请先选择珍宝！
SelfLottery6|幸运值\n%s
SelfLottery7|单选可撤销已选中的珍宝
SelfLottery8|单击选择珍宝
SelfLottery9|已选：
SelfLottery10|1.点击空格可#G自行选择#end上架自己想要的道具\n2.每类珍宝可上架的道具#G件数#end都有限制，#G不许为空#end\n3.寻宝时只会从#G已上架#end的道具中#G随机#end产生
SelfLottery11|您当前还有槽位没选择足够珍宝，将不能进行寻宝，是否一键选择珍品？
SelfLottery12|您当前槽位没选择足够珍宝，是否一键选择珍品？
SelfLottery13|当前槽位已经选满
SelfLottery14|当前槽位已选择该珍宝
SelfQua0|神品
SelfQua1|仙品
SelfQua2|灵品
SelfQua3|凡品
PowerGrowsSlowly|战力成长慢？
ExchangeExpend|兑换消耗：
ExchangeMaxCnt|可兑换最大数量：%s
LoginDayCnt|当前登录天数：%s
OutOfGold|元宝不够花？
OnlineTime|当前在线：%s分钟
LvUpFast|火速升级，首选特权卡
TodayCharge|今日已充值：%s
ZhiGouTips|直购礼包不算入单笔充值，仅常规充值有效
ActivityEnd|活动已结束
CurLevel|当前等级：%s
CurExpend|当前已消费：%s
CurPower|当前战力:%s
UnFinish|未达到领取条件
ExchangeTips|集齐以下物品，可兑换
ExchangeCnt|已兑次数：%s
ExchangeLimit1|%s转可兑换
ExchangeLimit2|VIP%s可兑换并%s转可兑换
ExchangeLimit3|VIP%s可兑换
ExchangeLimit4|兑换次数已用完
ExchangeLimit5|未满足条件，无法兑换
Tips1|领取次数已满！
Tips2|已领取次数：%s
Tips3|累计登录(%s/%s)天
Tips4|今日首充人数达%s人且个人充值%s金额
Tips5|任意
Tips6|专享
Tips7|在线时长(%s/%s)分钟
Tips8|恭喜您获得了豪运转盘的全部奖励\n\n#G转盘奖励已刷新#end
Tips9|请选择批量抽奖次数
Tips10|奖励抽完了！
Tips11|抽奖次数不足，消耗更多道具可参与抽奖
Tips12|元
Tips13|剩余抽奖次数:%s
Tips14|抽奖
Tips15|批量抽奖
Tips16|剩余抽奖次数不足，是否前往充值？
Tips17|累计充值达到目标可获得1次抽奖次数
Tips18|消耗%s达到目标数量可获得1次抽奖次数
Tips19|剩余时间：
T20|当前场景不能打开活动
T21|请输入激活码
T22|领取礼包
T23|当前无活动内容！
T24|元秒杀
T25|购买可立即返还%s仙玉
T26|结束时间：
T27|已结束
T28|开服第%s天开启
T29|珍世宝阁已关闭
T31|请先购买
T32|礼包已过期
T33|已购买过当前礼包
T34|开服第三天可购买第一档
T35|珍世宝阁
T36|已购买
T37|30元秒杀
T38|秒杀
T39|限够
T40|折
T41|购买已达上限
Tab_Fireworks|烟花
Tab_Celebrate|庆典
GetRwdPool|获得当前奖池%s%%s奖励
FireworksFuncTip|个人烟花值达标即可领取烟花宝箱奖励
FireCelebrateFuncTip|个人庆典值达标即可领取庆典宝箱奖励
FireworksValue|烟花值
FireCelebrateValue|庆典值
BtnXyRecord|许愿记录
BtnZjDesc|中奖情况
NoXunBaoRecord|暂无寻宝记录
GetRwdPoolRate|抽出%s%奖池
FwGainCnt|#G%s#end, #Y寻宝%s次，获得%s点个人%s值#end
IconFlower|鲜花
FlowerRankEndTip|已经封榜，不能赠送道具了！
ActivityRankEnd|排名截止
RankHaveEnd|排名已截止
RankEndTip0|排名截止：已截止（数据统计中）
RankEndTip1|最终数据统计中\n即将更新...
RankEndTip2|排名截止：已截止（数据已更新）
MyGetFlowerCnt|我收到的%s：%s
GuardCnt|守护者：%s人
ReceiveFlower|收到
GiftReceived|收到的
GiftSended|赠送的
FlowerRank1Title|第%s名奖
FlowerRankRule|1.活动期间已上榜的玩家不可更改性别，（可以改名），未上榜的玩家可更改性别。#N2.只有#G%s#end可以上榜，可以#G给自己送活动道具#end，自己可以成为自己的守护者。#N3.左上角展示排行榜截止时间，一旦#G倒计时结束，赠送道具将不再计入排行#end。#N4.活动结束后，奖励将以#G邮件#end形式在#G次日零点#end开始发放。#N5.每个名次，#G只有前2名的守护者#end才可获得#G守护者奖励#end。
RefreshTooFast|您刷新太快了！
HaveDonate|已捐献
BtnChangeAll|换一批
BtnSearchPlayer|搜索玩家
BtnSendMsg|赠送信息
MySendFlowerCnt|我送出的%s：%s
RankSendCondTip|送出%s可参与排行
RankSendStr|送出%s：%s
PlzInputName|请输入玩家名字
InputMaxLenTip|名字不能超过30字
PlzSelectCnt|请选择道具数量！
PropCntLackTip|您拥有道具数量不足！
Tab_ZXJJ|尊享基金
CanFund|可投资
HaveFunded|已投资!
FundCostCnt|是否花费#G%s#end%s进行投资?
FundCondVip|VIP等级不足，是否前往VIP?
FundXianyuTip|仙玉不足，是否前往兑换?
FundGoRecharge|元宝不足，是否前往充值?
FundNoJoinTip|请先进行投资!
FundFlDay|第%s天返利
FundDrawNextDay|明天可领取
FundDrawLater|%s天后可领取
BestLotPre|本期上上签
BtnDrawLot|抽签
BtnOnekeyDrawLot|一键抽签
NotDrawLot|未摇取
HaveDrawLot|已摇取
GiveVIPStr|领取立即送VIP
Tab_LuckyLot|鸿运签筒
NotGetTargetLot|尚未摇取到该竹签
TodayGetLotCnt|(今日获得抽奖次数：%s/#G%s#end             剩余可抽签次数：%s%s/%s#end)
Tab_TMZL|天命之路
Tab_JDJL|阶段奖励
Tab_TMB|天命榜
Tab_CBFL|冲榜返利
Tab_CBLB|冲榜礼包
DiceUseCntTip|今日幸运骰子使用次数已达上限
NextResetTime|下次重置时间：
TotalStepCnt|当前总步数：%s
DiceLeftTimes|今日骰子剩余次数：%s
MyStepCnt|我的步数：%s
LifeRankRefreshTip|(排行榜每5分钟刷新一次)
LifewayRwdCondTip|天命之路到达第%s层(%s%s#end/1)
LifewayRwdDrawTip|天命之路步数到达%s可领取
LifewayStepCnt|步数:%s步
Act_1|远古秘藏
Act_2|dd天HH时mm分
Act_3|完成所有抽奖必得大奖(%s/48)
Act_4|#W    第%s只财宝大盗被成功狩猎，第%s只财宝大盗出现了#end\n
Act_5|    #G%s#end在狩猎第%s只财宝大盗中成为了#B精英投弹手#end\n
Act_6|    #G%s#end在狩猎第%s只财宝大盗中使用了超级电磁炮，造成了#R%s#end点伤害，财宝大盗直接损失#R%s%#end的最大生命值;\n
Act_7|自动发射
Act_8|伤害:财宝大盗最大生命值%s%#N消耗:%s%魔法能量
Act_9|能量不足
Act_10|当前已通关，请结算奖励
Act_11|#G%s#end#N伤害占比: #G%s%#end
Act_12|伤害:%s/次#N#R暴击几率:%s%#end#N#R暴击伤害:%s%#end
Act_13|区服总伤害达到#G0.5万#end可上榜
Act_14|个人伤害达到#G1万#end可上榜
Act_15|我的区服总伤害：#G%s#end
Act_16|我的个人伤害：#G%s#end
Act_17|尚未达到目标
Act_18|排名截止: #G%s#end
Act_19|分
Act_20|和
Act_21|%s全体玩家总雪花达到(%s/%s)#end
Act_22|\n%s个人至少捐献%s个%s#end
Act_23|圣诞雪花：
Act_24|暂无第%s奖励
Act_25|恭喜您获得了豪运转盘的全部奖励\n\n#G转盘奖励已刷新#end
Act_26|消耗%s达到目标数量可获得1次抽奖次数
Act_27|此许愿已达成
Act_28|许愿规则：
Act_29|12-25到12-31期间，所有上线玩家都可以进行一次许愿\n每人最多可许6个愿望\n每个愿望，都会抽取一半的玩家实现\n每个愿望可使用愿望之星，实现几率将变为100%
Act_30|许愿时间已过
Act_31|单笔充值达到%s元可获得许愿机会
Act_32|累计充值达到%s元可获得许愿机会
Act_33|活动期间战力提升大于%s万可获得许愿机会
Act_34|兑现愿望倒计时：
Act_35|距离愿望达成：
Act_36|圣诞老爷爷，请给我神望已久的
Act_37|请输入许愿语
Act_38|请选择许愿礼物
Act_39|新年·许愿豪礼\n%s
Act_40|当前位置无法使用愿望之星
Act_41|请选择您的愿望，给它添加一颗愿望之星
Act_42|(达成愿望)
Act_43|(成功许愿)
Act_44|寻宝
Act_45|选择你的兑换次数
Act_46|宗门大魔法师：#G%s#end
Act_47|宗门总伤害：#G%s#end
Act_48|个人伤害：#G%s#end
Act_49|大魔法师次数：#G%s#end
ChargeCntRMB|已充值：#G%s元#end
ShouXuanTQK|火速升级，首选特权卡
MujiCost|募集消耗：
BtnMuji|募集
TotalCost|总价：
Tab_GroupBuyRank|团购榜
Tab_GroupBuySuper|超值团购
Tab_GroupBuyGift|团购礼包
GroupBuyRankRefreshTip| (排行榜每5分钟刷新一次)
GBRankCondScore|上榜积分：#G%s#end
MyGBScore|我的团购积分：#G%s#end
TeamGetGiftStr|战队: %s\n获得团购大礼\n#G%s次#end
GroupBuyScore|团购积分: %s
GroupBuyGiftTimes|%s\n团购大礼:%s次
GroupBuyRwdTip|个人募集%s张券可领取以下奖励%s(%s/1)#end
GroupBuyRwdIng|奖励结算中...
GroupBuyNoRwd|当前团购无人获奖，请积极参与后续团购
GBRwdRoleTip|恭喜以下玩家获得本次团购的奖励
GBRwdType|获奖类型：
GBRwdTypeRate0|必得
GBRwdTypeRate1|高几率
GBRwdTypeRate2|幸运
GBRwdScore|获得积分：#G%s#end
GBCurCnt|当前团购券:
GBCondCnt|开奖人数：
GBTargeCnt|目标团购券：
GBCurCnt2|团购券数：%s
GBRoleNum|团购%s人
BtnViewRwd|查看发奖
BtnJoinGB|我要参团
OpenRwdCD|剩余开奖时间：
EndShort|已截止
GBTeamGiftTip0|获得团购大礼可获得%s团购积分
GBTeamGiftTip1|仙友团第一名可获得%s团购积分
GBTeamGiftTip2|每达到一次目标值可使开奖人数+1
Tab_InterFs|封神榜
InteGainScoreTip|消耗1个%s可得10积分
InteRankCond|上榜条件:积分达到%s
InteRwdDrawCond|%s积分达到%s可领取%s(%s/%s)#end
Activity_1|第%s天激活任务
Activity_2|新年七日礼
Activity_3|新年至尊礼
Activity_4|当前已登录：%s天
Activity_5|当前活动已过期
Activity_6|该日奖励还未开启
Activity_7|充值任意金额即可领取
Activity_8|今日献礼已领取!
Activity_9|每日献礼
Activity_10|今日可领取以下奖励：
Activity_11|开启
Activity_12|yyyy%sMM%sdd%s
Activity_13|七日豪礼
Activity_14|至尊秘藏
Activity_15|第%s天
Activity_16|未达到登录天数，不能领取!
Activity_17|提升SVIP
Activity_18|七玄任务
Activity_19|七玄令
Activity_20|剩余时间：
Activity_21|dd%sHH%smm%s
Activity_22|1元抢购
Activity_23|礼包仅可选择1个购买
Activity_24|立即领取
Activity_25|本次签到后才允许补签
Activity_26|请按顺序补签
Activity_27|累计签到
Activity_28|前往激活
Activity_29|累计签到%s天，可领取
Activity_30|签到%s天
Activity_31|dd%sHH%smm%sss%s
Activity_32|复制失败！
Activity_33|复制成功
Activity_34|可领取
Activity_35|查看二维码
Activity_36|请通过以下两种方式添加我们的公众号\n第一种：保存本二维码，在本地相册中长按关注
Activity_37|第二种：手动在微信搜索中搜索：剑荡江湖\n以下是您的用户信息，充值时需要，请点击复制按钮
Activity_38|首次通过公众号充值将获得
Activity_39|新手注册礼包
Activity_40|每日活跃礼包
Activity_41|游戏成长礼包
Activity_42|已领取奖励
Activity_43|未达到
Activity_44|时可领取
Activity_45|初次见面，送上见面礼
Activity_46|QQ空间游戏中心用户尊享以下特权
Activity_47|%s元
Activity_48|当前已连续充值：#G%s天#end
Activity_49|当前累计保护时间：#G%s天#end
Activity_50|每连充#G%s/%s#end天可获得1天保护时间
Activity_51|已领取
Activity_52|连续充值%s天奖励提升
Activity_53|集齐%s件
Activity_54|灭世神铠
Activity_55|无活动内容！
Activity_56|d%sH%sm%s
Activity_57|传闻的上古至宝，以灵力灌注之有先天神力运转其中
Activity_58|激活此部件后可领取以下奖励：
Activity_59|倒计时:
Activity_60|任务剩余时间
Activity_61|购买剩余时间
Activity_62|未达成
Activity_63|完成所有任务即可领取圣诞派对大奖
Activity_64|完成任务数量达到一定可领取以下奖励
Activity_65|虚天宝殿
Activity_66|推荐战力:%s
Activity_67|再次挑战
Activity_68|%s层(%s秒)
Activity_69|0层
Activity_70|奖励在活动结束后通关邮件发放
Activity_71|火速升级，首选特权卡
Activity_72|层可领取
Activity_73| 战力成长慢？
Activity_74|已充值:#G%s#end元
Activity_75|充点小钱
Activity_76|充值%s元
Activity_77|任意首充
Activity_78|累计充值%s元
Activity_79|积分:%s
Activity_80|%s\n战队:
Activity_81|为武神们赠送斗玉，可随机获取以下回赠奖励
Activity_82|为灵宠们赠送灵草，可随机获取以下回赠奖励
Activity_83|为红颜们赠送胭脂，可随机获取以下回赠奖励
Activity_84|每次赠礼获得#G1点#end%s，再获得#G%s点#end%s必得本期大奖
Activity_85|赠送一览
Activity_86|赠送1次
Activity_87|赠送10次
Activity_88|大奖记录
Activity_89|免费刷新次数%s
Activity_90|还需要赠礼#G%s#end次
Activity_91|下次赠礼
Activity_92|必定获取本期大奖
Activity_93|当前大奖为#G稀有奖励#end，重置并且会清空当前%s，是否确认？
Activity_94|第一名
Activity_95|我的排名：
Activity_96|我的积分：
Activity_97|战队：
Activity_98|仙玉不足，是否前往商店购买
Activity_99|%s元投资
Activity_100|现在投资可立即返还%s
Activity_101|成为黄钻贵族！全场商品8折优惠！
Activity_102|祈福龙珠
Activity_103|放弃秒杀，一折券将会消失，但会返还以下奖励，\n是否确认放弃？
Activity_104|%s元秒杀
Activity_105|黄金宝库
Activity_106|铂金宝库
Activity_107|钻石宝库
Activity_108|我的%s数量：%s
Activity_109|活动倒计时：
Activity_110|砸蛋榜
Activity_111|幸运砸蛋
Activity_112|冲榜返利
Activity_113|砸蛋礼包
Activity_114|当前幸运值已满，继续砸蛋不能获得幸运值，是否继续砸蛋？\n#G(领取幸运奖可清空当前幸运值)#end
Activity_115|我的砸蛋值：#G%s#end
Activity_116|每次砸蛋必得%s个蛋壳碎片和以下奖励之一
Activity_117|砸蛋奖励
Activity_118|折扣券
Activity_119|放弃秒杀
Activity_120|绝版
Activity_121|现价:
Activity_122|兑换次数:%s/%s
Activity_123|幸运黄金蛋
Activity_124|福禄铂金蛋
Activity_125|星辰钻石蛋
Activity_126|砸蛋值:%s
Activity_127|砸蛋值达到%s可领取
Activity_128|幸运值
Activity_129|砸蛋
Activity_130|十连砸蛋
Activity_131|幸运砸蛋活动结束后，所有折扣券都将视为放弃使用
Activity_132|连续充值%s天
Activity_133|第%s层
Activity_134|%s层(%s秒)
Activity_135|第%s名
LDFuBenName_0|
LDFuBenName_1|世界BOSS
LDFuBenName_2|至尊BOSS
LDFuBenName_3|妖魔入侵
MoonFestivalNames_0|超值
MoonFestivalNames_1|好物
MoonFestivalNames_2|爆款
MoonFestivalNames_3|血拼
DaySweetValueName_0|好感值
DaySweetValueName_1|信赖值
DaySweetValueName_2|羁绊值
desc|道具描述
gain_desc|获取途径
attr|基础属性
desc|道具描述
gain_desc|获取途径
ItemType.SwordEquip_0|剑刃
ItemType.SwordEquip_1|剑鞘
ItemType.SwordEquip_2|剑柄
ItemType.SwordEquip_3|剑穗
ItemType.ShenweiEquip_0|官印
ItemType.ShenweiEquip_1|铠袍
ItemType.ShenweiEquip_2|神靴
ItemType.ShenweiEquip_3|神戒
ItemType.FaQiEquip_0|法轮
ItemType.FaQiEquip_1|法球
ItemType.FaQiEquip_2|法印
ItemType.FaQiEquip_3|法柄
ItemType.XianjieEquip_0|仙刃
ItemType.XianjieEquip_1|仙袍
ItemType.XianjieEquip_2|仙靴
ItemType.XianjieEquip_3|玉佩
ItemType.YuShenEquip_0|扇柄
ItemType.YuShenEquip_1|扇纸
ItemType.YuShenEquip_2|扇坠
ItemType.YuShenEquip_3|扇骨
ItemType.LingZhenEquip_0|阵眼
ItemType.LingZhenEquip_1|阵符
ItemType.LingZhenEquip_2|阵盾
ItemType.LingZhenEquip_3|阵界
ItemType.XueMaiEquip_0|狂龙魂
ItemType.XueMaiEquip_1|猛虎魂
ItemType.XueMaiEquip_2|怒熊魂
ItemType.XueMaiEquip_3|苍狼魂
Bag1|角色等级：Lv.%s
Bag2|Lv.%s
Bag3|提升%s级！
Bag4|已在线
Bag5|挂机经验+%s%
Bag6|挂机铜币+%s%
Bag7|装备数量:
Bag8|铜币收益:
Bag9|经验收益:
Bag10|强化石:
Bag11|背包满后，可自动熔炼获得装备，提升SVIP可获得更多收益
Bag12|容量：%s/%s
Bag13|使用
Bag14|战力：%s
Bag15|拥有数量：%s
Bag16|穿戴
Bag17|%s重
Bag18|使用等级:%s转
Bag19|%s的品质未超过您当前的%s，不可使用
Bag20|恭喜获得4倍充值返利档次
Bag21|装备
Bag22|道具
Bag23|异宝
Bag24|宝石
Bag25|是否消耗#G%s仙玉#end增加#G%s格#end元神背包容量，\n还可以购买#G(%s/%s)#end次
Bag26|请选择一件物品
Bag27|物品选择宝箱
Bag28|请从下列物品中选择一件：
Bag29|数量:%s
Bag30|%s万
Bag31|神转
Bag32|%s转
Bag33|%s星
Bag34|已绑定
Bag35|未绑定
Bag36|获取途径：%s
Bag37|转生需求：
Bag38|境界需要：%s阶
Bag39|飞升需要：%s·%s
Bag40|卓越
Bag41|极品
Bag42|无
Bag43|确认使用#G%s#end战队贡献兑换%s%s#end
Bag44|兑换条件：声望%s阶
Bag45|卓越属性#R (无)#end
Bag46|#G卓越（必生成3条极品卓越属性）#end
Bag47|#G卓越（随机生成稀有卓越属性）#end
Bag48|一键选择
Bag49|材料不足
Bag50|一键合成
Bag51|铜币+%s
Bag52|强化石+%s
Bag53|经验+%s
Bag54|珍稀掉落：装备精华+%s
Bag55|无可熔炼装备
Bag66|熔炉等级
Bag67|攻击
Bag68|生命
Bag69|熔炼装备获得经验值
Bag70|从背包选择你要分解的装备
Bag71|从背包选择你要分解的道具
Bag72|装备分解
Bag73|道具分解
Bag74|从背包选择栏中选择要分解的装备；\n获得栏可预览分解所得道具及概率道具；\n装备分解得到的材料可在“相应”功能中使用。
Bag75|请勿重复选择
Bag76|未选择装备
Bag77|未选择道具
Bag78|已选择的%s(%s/%s)
Bag79|橙色品质以上的装备才可以使用分解\n依据装备转生与种类可分解获得不同转生的:#B防具碎片#end、#B饰品碎片#end\n红色品质以上的装备分解可得到稀有材料:#R装备打造石#end、#R卓越重铸石#end\n装备分解得到的低转材料可在“合成”功能中进行合成升转
Bag80|分解可获得
Bag81|所需合成材料不足
Bag82|铜币不足
Bag83|请输入道具名字
Bag84|角色装备
Bag85|元神装备
Bag86|法身装备
Bag87|神座装备
Bag88|器灵装备
Bag89|发送成功!
Bag90|发送到跨服频道
Bag91|发送到宗门频道
Bag92|展示
Bag93|一键熔炼成功，获得以下收益：
Bag94|无可合成装备
Bag95|元宝不足
Bag96|合成所需材料不足
Bag97|合成【%s】,需放入两件:【%s】
Bag98|合成【%s】,需放入:【%s、%s、%s、%s任意两件】
Bag99|%s阶
Bag100|道具格子不足
Bag101|装备格子不足20格,是否一键熔炼
Bag102|星
Bag103|阶
Bag104|分解
Bag105|未搜索到相应道具
Bag106|是否消耗#G%s仙玉#end增加#G%s格#end道具背包容量，\n还可以购买#G（%s/%s)#end次
Bag107|%s活动时间外不能开启
Bag108|%s已达吞噬上限
Bag109|请至少选择一件物品
Bag110|青龙宝石：未镶嵌
Bag111|白虎宝石：未镶嵌
Bag112|朱雀宝石：未镶嵌
Bag113|玄武宝石：未镶嵌
Bag114|传说宝石：未镶嵌
Bag115|（装备未神化）
Bag116|贡献币:
COMP_TYPE_0|装备碎片
COMP_TYPE_1|装备打造石
COMP_TYPE_2|属性丹
COMP_TYPE_3|装备升星石
COMP_TYPE_4|外显碎片
COMP_TYPE_5|装备宝箱
COMP_TYPE_6|仙缘合成
COMP_TYPE_7|五行圣器
COMP_TYPE_8|转生丹合成
COMP_TYPE_9|神装碎片
YIBAO_COMP_TYPE_0|飞剑装备
YIBAO_COMP_TYPE_1|神位装备
YIBAO_COMP_TYPE_2|法器装备
YIBAO_COMP_TYPE_3|仙阶装备
YIBAO_COMP_TYPE_4|玉扇装备
YIBAO_COMP_TYPE_5|灵阵装备
YIBAO_COMP_TYPE_6|血脉装备
SWORD_POS_0|剑刃
SWORD_POS_1|剑鞘
SWORD_POS_2|剑柄
SWORD_POS_3|剑穗
GOD_POS_POS_0|官印
GOD_POS_POS_1|铠袍
GOD_POS_POS_2|神靴
GOD_POS_POS_3|神戒
FA_QI_POS_0|法轮
FA_QI_POS_1|法球
FA_QI_POS_2|法印
FA_QI_POS_3|法柄
XIAN_JIE_POS_0|仙刃
XIAN_JIE_POS_1|仙袍
XIAN_JIE_POS_2|仙靴
XIAN_JIE_POS_3|玉佩
YU_SHAN_POS_0|扇柄
YU_SHAN_POS_1|扇纸
YU_SHAN_POS_2|扇坠
YU_SHAN_POS_3|扇骨
LING_ZHEN_POS_0|阵眼
LING_ZHEN_POS_1|阵符
LING_ZHEN_POS_2|阵盾
LING_ZHEN_POS_3|阵界
XUE_MAI_POS_0|狂龙魂
XUE_MAI_POS_1|猛虎魂
XUE_MAI_POS_2|怒熊魂
XUE_MAI_POS_3|苍狼魂
FU_ZHAN_QUALITY_0|紫品
FU_ZHAN_QUALITY_1|橙品
FU_ZHAN_QUALITY_2|红品
FU_ZHAN_QUALITY_3|神品
GodSeatEqPosName_0|武器
GodSeatEqPosName_1|头饰
GodSeatEqPosName_2|衣服
GodSeatEqPosName_3|鞋子
GodSeatEqPosName_4|戒指
GodSeatEqPosName_5|项链
GodSeatEqPosName_6|腰带
GodSeatEqPosName_7|裤子
GodSeatEqPosName_8|护腕
GodSeatEqPosName_9|手镯
GodSeatEqName_0|暴风套装
GodSeatEqName_1|魅惑套装
GodSeatEqName_2|生命套装
GodSeatEqName_3|光明套装
GodSeatEqName_4|幻想套装
GodSeatEqName_5|秩序套装
BaGuaName_0|乾牌
BaGuaName_1|兑牌
BaGuaName_2|离牌
BaGuaName_3|震牌
BaGuaName_4|巽牌
BaGuaName_5|坎牌
BaGuaName_6|艮牌
BaGuaName_7|坤牌
BaGuaTipsAttrName_0|
BaGuaTipsAttrName_1|攻击
BaGuaTipsAttrName_2|生命
BaGuaTipsAttrName_3|破甲
BaGuaTipsAttrName_4|防御
BaGuaTipsAttrName_5|暴击
BaGuaTipsAttrName_6|抗暴
BaGuaTipsAttrName_7|命中
BaGuaTipsAttrName_8|闪避
BmpTextType.Crit|暴击
BmpTextType.EXCEL|卓越
BmpTextType.LEGENDARY|超神
BmpTextType.WUSHEN|武神
BmpTextType.PET|侍女
BmpTextType.QILING_ATK|器灵
BmpTextType.QILING_CRIT|暴击
BmpTextType.QILING_DOUBLE|连击
BmpTextType.QILING_HEART|会心一击
BmpTextType.FABAO|法宝
BmpTextType.GodSkill|神技
BmpTextType.Exp|经验
BmpTextType.FIRE|火
BmpTextType.WATER|水
BmpTextType.WOOD|木
BmpTextType.GOLD|金
BmpTextType.EARTH|土
BmpTextType.BAOPO|爆破
BmpTextType.MIANYI|免疫
BmpTextType.SHUFU|束缚
BmpTextType.XUANYUN|眩晕
BmpTextType.ZHANSHA|斩杀
BmpTextType.TIANLEI|天劫
BmpTextType.SHENJUE|神诀
BmpTextType.DRAGONATK|神龙一击
YiYuBossType.FuZhan|辅战侍从
YiYuBossType.SurFace|外显
YiYuBossType.Equips|装备
Boss1|自己:%s
Boss3|#Y体力：#end%s/%s
Boss4|体力值已满!
Boss5|本次使用体力丹会超出最大上限值，是否使用？
Boss6|体力丹不足，是否前往商店购买？
Boss7|自动使用体力丹
Boss8|个人BOSS
Boss9|秘境BOSS
Boss10|至尊BOSS
Boss11|悬赏BOSS
Boss12|异域BOSS
Boss13|第%s层
Boss14|剩余时间
Boss15|激活SVIP3可一键扫荡
Boss16|激活SVIP3开启一键扫荡功能，是否前往激活?
Boss17|每日0点重置次数
Boss18|%s级
Boss19|%s级开启
Boss20|%s转
